player_id,passes,carries,goal_threat,receptions,total_actions,team_passes,team_carries,team_goal_threat,team_receptions,team_total_actions,pass_tendency,carry_tendency,goal_threat_tendency,reception_tendency,pass_influence,carry_influence,goal_threat_influence,reception_influence,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15
36483,122830,93076,4646,6477,227029,1610287,1218448,63841,81923,2974499,0.5410322029344269,0.4099740561778451,0.02046434596461245,0.02852939492311555,0.07627832802475583,0.07638898007957665,0.07277454927084476,0.07906204606764888,-156.12671,154.55835,159.28204,-153.98573,158.22919,-143.32112,142.45267,150.66345,-158.37077,-137.4565,-155.134,-157.98097,-163.16533,-140.44243,-151.20628,-155.53539
36550,139717,104578,5410,7554,257259,1662914,1242182,65726,89854,3060676,0.5430985893593616,0.40650861583073866,0.021029390614128174,0.029363404195771575,0.0840193780315759,0.08418895137749541,0.08231141405227764,0.08406971309012398,-229.57059,229.14565,232.95906,-228.13368,233.65685,-216.39006,209.03596,221.11874,-233.66522,-201.90445,-229.57312,-228.7842,-238.14139,-205.8575,-221.26144,-226.94394
38973,101838,75064,4841,6036,187779,1168072,864545,57845,69034,2159496,0.5423290144265334,0.3997465105256711,0.025780305571975567,0.03214416947581998,0.08718469409419967,0.08682486163241937,0.08368916933183508,0.08743517686936872,-86.64437,85.31172,87.32161,-86.1218,88.42094,-81.428635,79.137314,82.64609,-87.55314,-76.31177,-86.41936,-87.63921,-89.96175,-77.89303,-83.15203,-86.009995
39052,125554,94445,5501,6765,232265,1925516,1444557,77079,101450,3548602,0.5405635803930855,0.4066260521387209,0.023684153875960647,0.02912621359223301,0.06520537871406937,0.06537990539660256,0.07136833638215337,0.06668309512074913,-199.3877,196.27527,202.13344,-194.91997,202.31995,-185.83867,183.8784,189.62897,-203.09146,-174.09145,-199.2452,-198.77728,-205.74817,-178.12599,-191.83809,-195.30052
43209,42013,33851,1697,2516,80077,819860,656239,32225,49271,1557595,0.524657517139753,0.4227306217765401,0.0211921026012463,0.03141975848246063,0.051244114848876636,0.051583340825522406,0.05266097750193949,0.05106452071198068,-190.48642,189.73558,194.08678,-187.97958,193.77832,-177.40575,174.4349,183.81177,-194.1626,-167.28229,-190.83434,-190.61864,-198.23323,-170.89912,-184.42377,-188.42714
50961,31519,23139,1383,1792,57833,414593,303337,18798,22617,759345,0.5450002593674892,0.4001002887624713,0.02391368249961095,0.03098576937042865,0.07602395602434195,0.07628149549840606,0.07357165655920843,0.07923243577839678,-175.41493,171.08453,178.61871,-172.1098,178.98756,-165.69574,158.9508,165.24614,-176.5424,-151.1068,-175.2055,-171.74797,-179.26521,-155.52563,-167.54916,-171.25418
59297,130914,97659,4781,7147,240501,1607150,1201162,60119,86180,2954611,0.5443386929784075,0.4060648396472364,0.01987933522105937,0.02971713215329666,0.08145723796783125,0.08130377084856165,0.07952560754503568,0.08293107449524252,-195.26073,195.8462,197.8844,-194.99757,198.55437,-184.624,178.00798,188.43436,-199.39624,-172.62723,-195.07918,-195.14467,-203.178,-175.51682,-188.38264,-193.53784
61098,143128,107218,5720,7641,263707,1789810,1340333,71632,93863,3295638,0.5427538897336817,0.4065800301091742,0.021690740101703784,0.028975340055440318,0.0799682647878825,0.07999355384072465,0.07985257985257985,0.08140587878077624,-228.86253,228.38463,232.78987,-226.88466,232.85832,-214.03032,209.68483,221.01428,-233.67352,-201.46251,-228.98192,-229.49171,-238.3674,-205.31921,-221.79034,-226.49695
85811,25749,21331,919,1233,49232,339235,280115,13137,17008,649495,0.5230134871628209,0.43327510562235944,0.018666720831979202,0.02504468638284043,0.07590313499491502,0.07615086660835728,0.06995508868082514,0.07249529633113828,-81.39394,79.960014,82.06234,-80.68663,82.975266,-76.37984,74.25331,77.49712,-82.16851,-71.62825,-81.148766,-82.1252,-84.36034,-73.087944,-77.99119,-80.66836
165695,66829,53367,2440,3946,126582,1392534,1109949,55850,80562,2638895,0.5279502614905753,0.4216002275205005,0.019276042407293296,0.031173468581630878,0.047990928767268876,0.04808058748645208,0.04368845120859445,0.04898090911347782,-205.93283,206.02054,209.0687,-204.74779,209.44736,-193.62221,188.07663,198.79599,-210.46663,-181.2474,-205.68005,-205.67508,-213.88591,-184.40791,-199.19058,-203.42813
